"","Address","Date","Rent","Aprt_Type","Building_Type"
"192","1920 Heritage Park Dr, Oklahoma City, OK 73120","2026/01/01",590,"1 Bed","Apartment"
"193","1920 Heritage Park Dr, Oklahoma City, OK 73120","2026/01/01",693,"2 Beds","Apartment"
"194","1920 Heritage Park Dr, Oklahoma City, OK 73120","2026/01/01",1182,"3 Beds","Apartment"
"195","2941 N Lottie Ave, Oklahoma City, OK 73111","2026/01/01",1351,"3 Beds","Apartment"
"196","2941 N Lottie Ave, Oklahoma City, OK 73111","2026/01/01",1506,"4 Beds","Apartment"
"197","9501 S I 35 Rd, Moore, OK 73160","2026/01/01",995,"1 Bed","Apartment"
"198","9501 S I 35 Rd, Moore, OK 73160","2026/01/01",1055,"2 Beds","Apartment"
"199","6475 36th Ave NW, Norman, OK 73072","2026/01/01",1109,"1 Bed","Apartment"
"200","6475 36th Ave NW, Norman, OK 73072","2026/01/01",1299,"2 Beds","Apartment"
"201","157 Stonebridge Blvd, Edmond, OK 73013","2026/01/01",1029,"1 Bed","Apartment"
"202","157 Stonebridge Blvd, Edmond, OK 73013","2026/01/01",1219,"2 Beds","Apartment"
"203","157 Stonebridge Blvd, Edmond, OK 73013","2026/01/01",1639,"3 Beds","Apartment"
"204","11308 SW 5th St, Yukon, OK 73099","2026/01/01",1049,"1 Bed","Apartment"
"205","11308 SW 5th St, Yukon, OK 73099","2026/01/01",1375,"2 Beds","Apartment"
"206","801 N Kelly Ave, Edmond, OK 73003","2026/01/01",999,"2 Beds",NA
"207","14025 N Eastern Ave, Edmond, OK 73013","2026/01/01",1029,"1 Bed","Apartment"
"208","14025 N Eastern Ave, Edmond, OK 73013","2026/01/01",1239,"2 Beds","Apartment"
"209","813 City Ave, Moore, OK 73160","2026/01/01",935,"2 Beds","Apartment"
"210","813 City Ave, Moore, OK 73160","2026/01/01",789,"3 Beds","Apartment"
"211","2900 S Service Rd, Moore, OK 73160","2026/01/01",1059,"1 Bed","Apartment"
"212","2900 S Service Rd, Moore, OK 73160","2026/01/01",1269,"2 Beds","Apartment"
"213","515 N Czech Hall Rd, Yukon, OK 73099","2026/01/01",969,"1 Bed","Apartment"
"214","515 N Czech Hall Rd, Yukon, OK 73099","2026/01/01",1161,"2 Beds","Apartment"
"215","515 N Czech Hall Rd, Yukon, OK 73099","2026/01/01",1225,"3 Beds","Apartment"
"216","14201 N Kentucky Ave, Oklahoma City, OK 73134","2026/01/01",1499,"1 Bed","Apartment"
