"","Address","Date","Rent","Aprt_Type","Building_Type"
"207","10201 Woodward Ave, Detroit, MI 48202","2026/01/01",607,"2 Beds",NA
"208","7850 East Jefferson Ave, Detroit, MI 48214","2026/01/01",426,"Studio","Apartment"
"209","7850 East Jefferson Ave, Detroit, MI 48214","2026/01/01",444,"1 Bed","Apartment"
"210","7850 East Jefferson Ave, Detroit, MI 48214","2026/01/01",527,"2 Beds","Apartment"
"211","1491 W 9 Mile Rd, Ferndale, MI 48220","2026/01/01",1450,"2 Beds",NA
"212","22490 Saratoga St, Southfield, MI 48075","2026/01/01",1819,"2 Beds","Apartment"
"213","22490 Saratoga St, Southfield, MI 48075","2026/01/01",1994,"3 Beds","Apartment"
"214","22490 Saratoga St, Southfield, MI 48075","2026/01/01",2399,"4 Beds","Apartment"
"215","8775 W 9 Mile Rd, Oak Park, MI 48237","2026/01/01",1100,"Studio","Apartment"
"216","8775 W 9 Mile Rd, Oak Park, MI 48237","2026/01/01",1225,"1 Bed","Apartment"
"217","800-820 Montie Rd, Lincoln Park, MI 48146","2026/01/01",950,"1 Bed","Apartment"
"218","800-820 Montie Rd, Lincoln Park, MI 48146","2026/01/01",1050,"2 Beds","Apartment"
"219","21314-21440 Macarthur Blvd, Warren, MI 48089","2026/01/01",945,"1 Bed","Apartment"
"220","21314-21440 Macarthur Blvd, Warren, MI 48089","2026/01/01",1045,"2 Beds","Apartment"
"221","14350 2nd Ave, Highland Park, MI 48203","2026/01/01",410,"1 Bed","Apartment"
"222","14350 2nd Ave, Highland Park, MI 48203","2026/01/01",457,"2 Beds","Apartment"
"223","14350 2nd Ave, Highland Park, MI 48203","2026/01/01",525,"3 Beds","Apartment"
"224","17765 Manderson Rd, Detroit, MI 48203","2026/01/01",1095,"1 Bed","Apartment"
"225","17765 Manderson Rd, Detroit, MI 48203","2026/01/01",1195,"2 Beds","Apartment"
"226","1514 Washington Blvd, Detroit, MI 48226","2026/01/01",1400,"2 Beds",NA
"227","81 Peterboro St, Detroit, MI 48201","2026/01/01",1250,"2 Beds",NA
"228","1422 Michigan Ave, Detroit, MI 48216","2026/01/01",2049,"2 Beds",NA
"229","35 W Grand River Ave, Detroit, MI 48226","2026/01/01",2240,"2 Beds",NA
"230","8845 E Jefferson Ave, Detroit, MI 48214","2026/01/01",1100,"Studio","Apartment"
"231","8845 E Jefferson Ave, Detroit, MI 48214","2026/01/01",1450,"2 Beds","Apartment"
"232","457 E Kirby St, Detroit, MI 48202","2026/01/01",1300,"1 Bed","Apartment"
"233","457 E Kirby St, Detroit, MI 48202","2026/01/01",1700,"2 Beds","Apartment"
"234","1019-1065 Covington Dr, Detroit, MI 48203","2026/01/01",1295,"2 Beds",NA
"235","825 Iroquois St, Detroit, MI 48214","2026/01/01",1075,"1 Bed","Apartment"
"236","825 Iroquois St, Detroit, MI 48214","2026/01/01",1275,"2 Beds","Apartment"
"237","1448 Woodward Ave, Detroit, MI 48226","2026/01/01",1770,"Studio","Apartment"
"238","1448 Woodward Ave, Detroit, MI 48226","2026/01/01",1910,"1 Bed","Apartment"
"239","677 Selden St, Detroit, MI 48201","2026/01/01",1400,"1 Bed",NA
"240","651 W Hancock St, Detroit, MI 48201","2026/01/01",899,"Studio","Apartment"
"241","651 W Hancock St, Detroit, MI 48201","2026/01/01",1100,"1 Bed","Apartment"
"242","1700 W Fort St, Detroit, MI 48216","2026/01/01",1610,"1 Bed","Apartment"
"243","1700 W Fort St, Detroit, MI 48216","2026/01/01",2310,"2 Beds","Apartment"
"244","1700 W Fort St, Detroit, MI 48216","2026/01/01",2790,"3 Beds","Apartment"
"245","66 Adelaide St, Detroit, MI 48201","2026/01/01",1050,"Studio","Apartment"
"246","66 Adelaide St, Detroit, MI 48201","2026/01/01",1200,"1 Bed","Apartment"
"247","66 Adelaide St, Detroit, MI 48201","2026/01/01",1900,"2 Beds","Apartment"
"248","2021 Blaine St, Detroit, MI 48206","2026/01/01",1050,"1 Bed","Apartment"
"249","2021 Blaine St, Detroit, MI 48206","2026/01/01",1250,"2 Beds","Apartment"
"250","888 Pallister, Detroit, MI 48202","2026/01/01",950,"1 Bed","Apartment"
"251","888 Pallister, Detroit, MI 48202","2026/01/01",1100,"2 Beds","Apartment"
"252","1462 Van Dyke St, Detroit, MI 48214","2026/01/01",1420,"1 Bed","Apartment"
"253","1462 Van Dyke St, Detroit, MI 48214","2026/01/01",2375,"2 Beds","Apartment"
"254","1531 E Larned St, Detroit, MI 48207","2026/01/01",1200,"2 Beds",NA
"NA.3",NA,NA,NA,NA,NA
"256","3075 W Grand Blvd, Detroit, MI 48202","2026/01/01",1000,"Studio","Apartment"
"257","3075 W Grand Blvd, Detroit, MI 48202","2026/01/01",1500,"1 Bed","Apartment"
"258","3075 W Grand Blvd, Detroit, MI 48202","2026/01/01",1700,"2 Beds","Apartment"
"259","479 W Willis St, Detroit, MI 48201","2026/01/01",849,"Studio","Apartment"
"260","479 W Willis St, Detroit, MI 48201","2026/01/01",1149,"1 Bed","Apartment"
"261","479 W Willis St, Detroit, MI 48201","2026/01/01",1399,"2 Beds","Apartment"
"262","10 W Adams Ave, Detroit, MI 48226","2026/01/01",895,"Studio","Apartment"
"263","10 W Adams Ave, Detroit, MI 48226","2026/01/01",1095,"1 Bed","Apartment"
"264","10 W Adams Ave, Detroit, MI 48226","2026/01/01",1595,"2 Beds","Apartment"
"265","930 E Lafayette St, Detroit, MI 48207","2026/01/01",1125,"1 Bed","Apartment"
"266","930 E Lafayette St, Detroit, MI 48207","2026/01/01",1255,"2 Beds","Apartment"
"267","641 Brainard St, Detroit, MI 48201","2026/01/01",991,"2 Beds","Apartment"
"268","641 Brainard St, Detroit, MI 48201","2026/01/01",1401,"3 Beds","Apartment"
"269","1775 Van Dyke St, Detroit, MI 48214","2026/01/01",1066,"3 Beds",NA
"270","15111 Greenfield Rd, Detroit, MI 48227","2026/01/01",850,"3 Beds",NA
"271","1440 Robert Bradby Dr, Detroit, MI 48207","2026/01/01",1271,"2 Beds","Apartment"
"272","1440 Robert Bradby Dr, Detroit, MI 48207","2026/01/01",1471,"3 Beds","Apartment"
"273","100 Glynn Ct, Detroit, MI 48202","2026/01/01",725,"3 Beds",NA
"274","1516 Vinewood St, Detroit, MI 48216","2026/01/01",845,"1 Bed","Apartment"
"275","1516 Vinewood St, Detroit, MI 48216","2026/01/01",1245,"2 Beds","Apartment"
"276","1331 Holden St, Detroit, MI 48202","2026/01/01",1250,"1 Bed","Apartment"
"277","1331 Holden St, Detroit, MI 48202","2026/01/01",2000,"2 Beds","Apartment"
"278","15097-15101 Greenfield Rd, Detroit, MI 48227","2026/01/01",740,"2 Beds",NA
"279","20479 Fleming St, Detroit, MI 48234","2026/01/01",945,"1 Bed","Apartment"
"280","20479 Fleming St, Detroit, MI 48234","2026/01/01",1045,"2 Beds","Apartment"
"281","2170 E Jefferson Ave, Detroit, MI 48207","2026/01/01",800,"Studio","Apartment"
"282","2170 E Jefferson Ave, Detroit, MI 48207","2026/01/01",900,"1 Bed","Apartment"
"283","2170 E Jefferson Ave, Detroit, MI 48207","2026/01/01",1075,"2 Beds","Apartment"
"284","3001 14th St, Detroit, MI 48216","2026/01/01",1014,"1 Bed","Apartment"
"285","3001 14th St, Detroit, MI 48216","2026/01/01",1209,"2 Beds","Apartment"
"286","3001 14th St, Detroit, MI 48216","2026/01/01",1391,"3 Beds","Apartment"
"287","329-381 Holbrook St, Detroit, MI 48202","2026/01/01",630,"Studio","Apartment"
"288","329-381 Holbrook St, Detroit, MI 48202","2026/01/01",755,"1 Bed","Apartment"
"289","22045-22065 W 8 Mile Rd, Detroit, MI 48219","2026/01/01",775,"1 Bed","Apartment"
"290","22045-22065 W 8 Mile Rd, Detroit, MI 48219","2026/01/01",875,"2 Beds","Apartment"
"291","120 Glynn Ct, Detroit, MI 48202","2026/01/01",595,"Studio","Apartment"
"292","120 Glynn Ct, Detroit, MI 48202","2026/01/01",845,"1 Bed","Apartment"
"293","120 Glynn Ct, Detroit, MI 48202","2026/01/01",995,"2 Beds+","Apartment"
"294","709 Hazelwood St, Detroit, MI 48202","2026/01/01",600,"Studio","Apartment"
"295","709 Hazelwood St, Detroit, MI 48202","2026/01/01",895,"1 Bed","Apartment"
"296","80 Seward St, Detroit, MI 48202","2026/01/01",615,"Studio","Apartment"
"297","80 Seward St, Detroit, MI 48202","2026/01/01",615,"1 Bed","Apartment"
"298","2023 Tuxedo St, Detroit, MI 48206","2026/01/01",595,"1 Bed",NA
"299","655 Hazelwood St, Detroit, MI 48202","2026/01/01",771,"1 Bed","Apartment"
"300","655 Hazelwood St, Detroit, MI 48202","2026/01/01",829,"2 Beds","Apartment"
"301","12870 W Outer Dr, Detroit, MI 48223","2026/01/01",655,"Studio","Apartment"
"302","12870 W Outer Dr, Detroit, MI 48223","2026/01/01",800,"1 Bed","Apartment"
"303","12870 W Outer Dr, Detroit, MI 48223","2026/01/01",900,"2 Beds","Apartment"
"304","640 Delaware St, Detroit, MI 48202","2026/01/01",585,"2 Beds",NA
"305","22325 W 8 Mile Rd, Detroit, MI 48219","2026/01/01",599,"Studio","Apartment"
"306","22325 W 8 Mile Rd, Detroit, MI 48219","2026/01/01",740,"1 Bed","Apartment"
"307","22325 W 8 Mile Rd, Detroit, MI 48219","2026/01/01",840,"2 Beds","Apartment"
"308","19311 Votrobeck Dr, Detroit, MI 48219","2026/01/01",861,"2 Beds","Apartment"
"309","19311 Votrobeck Dr, Detroit, MI 48219","2026/01/01",973,"3 Beds","Apartment"
"310","5043 E Outer Dr, Detroit, MI 48234","2026/01/01",600,"1 Bed","Apartment"
"311","5043 E Outer Dr, Detroit, MI 48234","2026/01/01",700,"2 Beds","Apartment"
"312","1001 Leland St, Detroit, MI 48207","2026/01/01",445,"1 Bed","Apartment"
"313","1001 Leland St, Detroit, MI 48207","2026/01/01",1100,"2 Beds","Apartment"
"314","901 Saint Louis St, Ferndale, MI 48220","2026/01/01",1325,"2 Beds",NA
"315","22111 Woodward Ave, Ferndale, MI 48220","2026/01/01",1899,"Studio","Apartment"
"316","22111 Woodward Ave, Ferndale, MI 48220","2026/01/01",1999,"1 Bed","Apartment"
"317","22111 Woodward Ave, Ferndale, MI 48220","2026/01/01",2599,"2 Beds","Apartment"
"318","1270 Electric Ave, Lincoln Park, MI 48146","2026/01/01",1090,"2 Beds",NA
