"","Address","Date","Rent","Aprt_Type","Building_Type"
"247","8810 Autumn Winds Dr, Raleigh, NC 27615","2026/01/01",1700,"3 Beds","Apartment"
"248","3211 Pridwen Cir, Raleigh, NC 27610","2026/01/01",984,"1 Bed","Apartment"
"249","3211 Pridwen Cir, Raleigh, NC 27610","2026/01/01",1218,"2 Beds","Apartment"
"250","3211 Pridwen Cir, Raleigh, NC 27610","2026/01/01",1467,"3 Beds","Apartment"
"251","1140 Trinity Pine Ln, Raleigh, NC 27607","2026/01/01",1079,"1 Bed","Apartment"
"252","1140 Trinity Pine Ln, Raleigh, NC 27607","2026/01/01",1428,"2 Beds","Apartment"
"253","1140 Trinity Pine Ln, Raleigh, NC 27607","2026/01/01",1438,"3 Beds","Apartment"
"254","927 W Morgan St, Raleigh, NC 27603","2026/01/01",1217,"1 Bed","Apartment"
"255","927 W Morgan St, Raleigh, NC 27603","2026/01/01",1521,"2 Beds","Apartment"
"256","927 W Morgan St, Raleigh, NC 27603","2026/01/01",2307,"3 Beds","Apartment"
"257","4625 Millbrook Green Dr, Raleigh, NC 27604","2026/01/01",1177,"1 Bed","Apartment"
"258","4625 Millbrook Green Dr, Raleigh, NC 27604","2026/01/01",1450,"2 Beds","Apartment"
"259","4625 Millbrook Green Dr, Raleigh, NC 27604","2026/01/01",1828,"3 Beds","Apartment"
"260","7100 Claxton Cir, Raleigh, NC 27615","2026/01/01",1255,"1 Bed","Apartment"
"261","7100 Claxton Cir, Raleigh, NC 27615","2026/01/01",1420,"2 Beds","Apartment"
"262","6450 Viewpointe Cir, Raleigh, NC 27617","2026/01/01",1349,"1 Bed","Apartment"
"263","6450 Viewpointe Cir, Raleigh, NC 27617","2026/01/01",1359,"2 Beds","Apartment"
"264","6450 Viewpointe Cir, Raleigh, NC 27617","2026/01/01",1849,"3 Beds","Apartment"
"265","910 Shellbrook Ct, Raleigh, NC 27609","2026/01/01",1425,"1 Bed","Apartment"
"266","910 Shellbrook Ct, Raleigh, NC 27609","2026/01/01",1690,"2 Beds","Apartment"
"267","308 S Blount St, Raleigh, NC 27601","2026/01/01",978,"Studio","Apartment"
"268","308 S Blount St, Raleigh, NC 27601","2026/01/01",978,"1 Bed","Apartment"
"269","308 S Blount St, Raleigh, NC 27601","2026/01/01",1638,"2 Beds+","Apartment"
"270","231 Calibre Chase Dr, Raleigh, NC 27609","2026/01/01",1215,"1 Bed","Apartment"
"271","231 Calibre Chase Dr, Raleigh, NC 27609","2026/01/01",1590,"2 Beds","Apartment"
"272","3110-3150 Hidden Pond Dr, Raleigh, NC 27613","2026/01/01",1099,"1 Bed","Apartment"
"273","3110-3150 Hidden Pond Dr, Raleigh, NC 27613","2026/01/01",1350,"2 Beds","Apartment"
"274","3110-3150 Hidden Pond Dr, Raleigh, NC 27613","2026/01/01",1699,"3 Beds","Apartment"
"275","403 Wolf Creek Cir, Raleigh, NC 27606","2026/01/01",1006,"1 Bed","Apartment"
"276","403 Wolf Creek Cir, Raleigh, NC 27606","2026/01/01",1417,"2 Beds","Apartment"
"277","403 Wolf Creek Cir, Raleigh, NC 27606","2026/01/01",1912,"3 Beds+","Apartment"
"278","20 Mayo St, Raleigh, NC 27603","2026/01/01",1185,"3 Beds+",NA
"279","10350 Sugarberry Ct, Raleigh, NC 27614","2026/01/01",1039,"1 Bed","Apartment"
