"","Address","Date","Rent","Aprt_Type","Building_Type"
"323","33 N St NE, Washington, DC 20002","2026/01/01",1519,"Studio","Apartment"
"324","33 N St NE, Washington, DC 20002","2026/01/01",2068,"1 Bed","Apartment"
"325","33 N St NE, Washington, DC 20002","2026/01/01",2895,"2 Beds","Apartment"
"326","1011 4th St NW, Washington, DC 20001","2026/01/01",1859,"Studio","Apartment"
"327","1011 4th St NW, Washington, DC 20001","2026/01/01",1903,"1 Bed","Apartment"
"328","1011 4th St NW, Washington, DC 20001","2026/01/01",3794,"2 Beds","Apartment"
"329","2255 Wisconsin Ave NW, Washington, DC 20007","2026/01/01",2205,"1 Bed","Apartment"
"330","2255 Wisconsin Ave NW, Washington, DC 20007","2026/01/01",3085,"2 Beds","Apartment"
"331","1 Florida Ave NE, Washington, DC 20002","2026/01/01",1880,"Studio","Apartment"
"332","1 Florida Ave NE, Washington, DC 20002","2026/01/01",1980,"1 Bed","Apartment"
"333","1 Florida Ave NE, Washington, DC 20002","2026/01/01",2845,"2 Beds+","Apartment"
"334","300 M St NE, Washington, DC 20002","2026/01/01",1627,"Studio","Apartment"
"335","300 M St NE, Washington, DC 20002","2026/01/01",1764,"1 Bed","Apartment"
"336","300 M St NE, Washington, DC 20002","2026/01/01",2623,"2 Beds","Apartment"
"337","2501 Q St NW, Washington, DC 20007","2026/01/01",1994,"2 Beds",NA
"338","5323 Connecticut Ave NW, Washington, DC 20015","2026/01/01",1699,"2 Beds",NA
"339","625 H St NE, Washington, DC 20002","2026/01/01",1666,"Studio","Apartment"
"340","625 H St NE, Washington, DC 20002","2026/01/01",2037,"1 Bed","Apartment"
"341","625 H St NE, Washington, DC 20002","2026/01/01",2729,"2 Beds","Apartment"
"342","1510-1514 7th St NW, Washington, DC 20001","2026/01/01",2109,"Studio","Apartment"
"343","1510-1514 7th St NW, Washington, DC 20001","2026/01/01",2009,"1 Bed","Apartment"
"344","1510-1514 7th St NW, Washington, DC 20001","2026/01/01",3222,"2 Beds+","Apartment"
"345","3900 16th St NW, Washington, DC 20011","2026/01/01",1562,"Studio","Apartment"
"346","3900 16th St NW, Washington, DC 20011","2026/01/01",1699,"1 Bed","Apartment"
"347","2701 Calvert St NW, Washington, DC 20008","2026/01/01",2191,"Studio","Apartment"
"348","2701 Calvert St NW, Washington, DC 20008","2026/01/01",2586,"1 Bed","Apartment"
"349","2701 Calvert St NW, Washington, DC 20008","2026/01/01",5591,"2 Beds","Apartment"
"350","443 New York Ave NW, Washington, DC 20001","2026/01/01",1979,"Studio","Apartment"
"351","443 New York Ave NW, Washington, DC 20001","2026/01/01",2213,"1 Bed","Apartment"
"352","443 New York Ave NW, Washington, DC 20001","2026/01/01",3164,"2 Beds","Apartment"
"353","2325 15th St NW, Washington, DC 20009","2026/01/01",1500,"Studio","Apartment"
"354","2325 15th St NW, Washington, DC 20009","2026/01/01",1700,"1 Bed","Apartment"
"355","3460 14th St NW, Washington, DC 20010","2026/01/01",1702,"Studio","Apartment"
"356","3460 14th St NW, Washington, DC 20010","2026/01/01",2044,"1 Bed","Apartment"
"357","3460 14th St NW, Washington, DC 20010","2026/01/01",2970,"2 Beds","Apartment"
"358","207 Mississippi Ave SE, Washington, DC 20032","2026/01/01",1299,"1 Bed","Apartment"
"359","207 Mississippi Ave SE, Washington, DC 20032","2026/01/01",1549,"2 Beds","Apartment"
"360","600 H St NE, Washington, DC 20002","2026/01/01",1751,"Studio","Apartment"
"361","600 H St NE, Washington, DC 20002","2026/01/01",1794,"1 Bed","Apartment"
"362","600 H St NE, Washington, DC 20002","2026/01/01",2558,"2 Beds","Apartment"
"363","611 Edgewood St NE, Washington, DC 20017","2026/01/01",1619,"1 Bed","Apartment"
"364","611 Edgewood St NE, Washington, DC 20017","2026/01/01",2432,"2 Beds","Apartment"
"365","2633 16th St NW, Washington, DC 20009","2026/01/01",2096,"Studio","Apartment"
"366","2633 16th St NW, Washington, DC 20009","2026/01/01",2017,"1 Bed","Apartment"
"367","2633 16th St NW, Washington, DC 20009","2026/01/01",3017,"2 Beds","Apartment"
"368","950 24th St NW, Washington, DC 20037","2026/01/01",2292,"Studio","Apartment"
"369","950 24th St NW, Washington, DC 20037","2026/01/01",2257,"1 Bed","Apartment"
"370","950 24th St NW, Washington, DC 20037","2026/01/01",4150,"2 Beds+","Apartment"
"371","57 Galveston St SW, Washington, DC 20032","2026/01/01",1199,"1 Bed","Apartment"
"372","57 Galveston St SW, Washington, DC 20032","2026/01/01",1399,"2 Beds","Apartment"
"373","1415 Rhode Island Ave NW, Washington, DC 20005","2026/01/01",2150,"Studio","Apartment"
"374","1415 Rhode Island Ave NW, Washington, DC 20005","2026/01/01",2395,"1 Bed","Apartment"
"375","1930 Columbia Rd NW, Washington, DC 20009","2026/01/01",1790,"Studio","Apartment"
"376","1930 Columbia Rd NW, Washington, DC 20009","2026/01/01",2095,"1 Bed","Apartment"
"377","1930 Columbia Rd NW, Washington, DC 20009","2026/01/01",3450,"2 Beds","Apartment"
"378","740-770 5th St NW, Washington, DC 20001","2026/01/01",2165,"Studio","Apartment"
"379","740-770 5th St NW, Washington, DC 20001","2026/01/01",2035,"1 Bed","Apartment"
"380","740-770 5th St NW, Washington, DC 20001","2026/01/01",3000,"2 Beds+","Apartment"
"381","1920-1934 14Th St NW, Washington, DC 20009","2026/01/01",2107,"Studio","Apartment"
"382","1920-1934 14Th St NW, Washington, DC 20009","2026/01/01",2834,"1 Bed","Apartment"
"383","1920-1934 14Th St NW, Washington, DC 20009","2026/01/01",4036,"2 Beds","Apartment"
"384","2400 Virginia Ave NW, Washington, DC 20037","2026/01/01",1969,"Studio","Apartment"
"385","2400 Virginia Ave NW, Washington, DC 20037","2026/01/01",2431,"1 Bed","Apartment"
"386","2400 Virginia Ave NW, Washington, DC 20037","2026/01/01",3405,"2 Beds","Apartment"
"387","909 New Jersey Ave SE, Washington, DC 20003","2026/01/01",1989,"1 Bed","Apartment"
"388","909 New Jersey Ave SE, Washington, DC 20003","2026/01/01",3494,"2 Beds","Apartment"
"389","1315 W St NW, Washington, DC 20009","2026/01/01",2167,"Studio","Apartment"
"390","1315 W St NW, Washington, DC 20009","2026/01/01",2298,"1 Bed","Apartment"
"391","1315 W St NW, Washington, DC 20009","2026/01/01",3671,"2 Beds","Apartment"
"392","1221 24th St NW, Washington, DC 20037","2026/01/01",3005,"1 Bed","Apartment"
"393","1221 24th St NW, Washington, DC 20037","2026/01/01",4140,"2 Beds","Apartment"
"394","1263 First St SE, Washington, DC 20003","2026/01/01",1827,"Studio","Apartment"
"395","1263 First St SE, Washington, DC 20003","2026/01/01",1873,"1 Bed","Apartment"
"396","1263 First St SE, Washington, DC 20003","2026/01/01",3201,"2 Beds","Apartment"
"397","70 I St SE, Washington, DC 20003","2026/01/01",1594,"Studio","Apartment"
"398","70 I St SE, Washington, DC 20003","2026/01/01",1679,"1 Bed","Apartment"
"399","70 I St SE, Washington, DC 20003","2026/01/01",2200,"2 Beds","Apartment"
"400","2401 Calvert St NW, Washington, DC 20008","2026/01/01",1608,"Studio","Apartment"
"401","2401 Calvert St NW, Washington, DC 20008","2026/01/01",2437,"1 Bed","Apartment"
"402","2401 Calvert St NW, Washington, DC 20008","2026/01/01",3367,"2 Beds","Apartment"
"403","4000 47th St NW, Washington, DC 20016","2026/01/01",1800,"1 Bed","Apartment"
"404","4000 47th St NW, Washington, DC 20016","2026/01/01",3400,"2 Beds","Apartment"
"405","4000 47th St NW, Washington, DC 20016","2026/01/01",3700,"3 Beds","Apartment"
"406","3945 Connecticut Ave NW, Washington, DC 20008","2026/01/01",1500,"Studio","Apartment"
"407","3945 Connecticut Ave NW, Washington, DC 20008","2026/01/01",3250,"2 Beds","Apartment"
"408","1924 8th St NW, Washington, DC 20001","2026/01/01",1885,"Studio","Apartment"
"409","1924 8th St NW, Washington, DC 20001","2026/01/01",1950,"1 Bed","Apartment"
"410","1924 8th St NW, Washington, DC 20001","2026/01/01",3175,"2 Beds","Apartment"
"411","82 I St SE, Washington, DC 20003","2026/01/01",1765,"Studio","Apartment"
"412","82 I St SE, Washington, DC 20003","2026/01/01",2312,"1 Bed","Apartment"
"413","82 I St SE, Washington, DC 20003","2026/01/01",3623,"2 Beds","Apartment"
"414","1600 Pennsylvania Ave SE, Washington, DC 20003","2026/01/01",1745,"1 Bed","Apartment"
"415","1600 Pennsylvania Ave SE, Washington, DC 20003","2026/01/01",3090,"2 Beds","Apartment"
"416","2130 P St NW, Washington, DC 20037","2026/01/01",2208,"Studio","Apartment"
"417","2130 P St NW, Washington, DC 20037","2026/01/01",2167,"1 Bed","Apartment"
"418","1400 Irving St NW, Washington, DC 20010","2026/01/01",1536,"Studio","Apartment"
"419","1400 Irving St NW, Washington, DC 20010","2026/01/01",1954,"1 Bed","Apartment"
"420","1400 Irving St NW, Washington, DC 20010","2026/01/01",2824,"2 Beds","Apartment"
"421","2201 N St, Washington, DC 20037","2026/01/01",2260,"Studio","Apartment"
"422","2201 N St, Washington, DC 20037","2026/01/01",2731,"1 Bed","Apartment"
"423","2201 N St, Washington, DC 20037","2026/01/01",4625,"2 Beds","Apartment"
